Identifier,Title,Tags
111707-21827485,LRCCS Noon Lecture Series | Disciplining Business: Reinventing CCP Networks as Tools of Economic Governance under Xi,"Asia
China"
113519-21831110,The Impact of AI on the Lives and Rights of Women in the US and the Middle East,"Advocacy
Artificial Intelligence
cew
Civil Rights
Culture
data
Data Science
Discussion
diversity
Diversity Equity and Inclusion
Education
Feminism
free
gender
gender studies
Human Rights
Humanities
Inclusion
Information and Technology
Interdisciplinary
International
irwg
Law
Middle East Studies
multicultural
Muslim
Political Rights
Politics
Research
Science
Social
Social Impact
social justice
Social Rights
Social Sciences
Sociology
women
Women's Rights
women's studies"
110383-21824852,"Hear, Here: Humanities Up Close","Architecture
Humanities"
113411-21830970,PhD Research Talk: Naichen Shi,"Graduate
Graduate and Professional Students
Graduate School
Graduate Students
Industrial & Operations Engineering
Industrial And Operations Engineering
Ioephdstudents
Ioephdtalks"
112127-21828472,Nam Center Colloquium Series | Reproductive Desires in Colonial Korea,"Asia
History
Korea"
113217-21830541,Trans Studies in the Virtual Age: A Conversation and Q&A,"Digital Studies Institute
gender studies
information studies
institute for research on women and gender
lgbt
transgender"
113414-21830973,Subject Matters: Weird Art Makes the World Better,"Art
Museum
UMMA"
105004-21810558,"Wallenberg Medal and Lecture | Lucas Benitez, Farmworker Leader","Agriculture
human rights
Human Trafficking
social justice"
113557-21831156,Susan Moore M.D. Memorial Lecture,"Diversity
Diversity Equity And Inclusion
Health Equity
Lecture
Medicine
Social Justice
Virtual"
110299-21824751,Health Equity Leadership Series,"African American
Diversity Equity and Inclusion
health care
Health Disparities
midwifery
nursing
Professional Development
reproductive health
women's health"
113445-21831024,"MPSDS JPSM Seminar Series - New data, new questions, old problems? Online behavioral data in social science research","Anthropology
Basic Science
Biosciences
brown bag
Cognition
Data
Data Collection
Data Curation
Data Linkage
Data Management
Data Science
Economics
Free
Graduate
Health Data
In Person
Interdisciplinary
Kinesiology
Mathematics
Multidisciplinary Design
Political Science
Psychology
Public Health
Research
Science
Social Sciences
Sociology
Survey Methodology
Survey Research"
113693-21831464,Securing Tribal Water Rights after Arizona v. Navajo Nation,"Activism
Biology
Biosciences
Civil and Environmental Engineering
Culture
Diversity
Diversity Equity and Inclusion
Ecology
Economics
Energy
Environment
Graduate Students
History
Inclusion
Interdisciplinary
Law
Lecture
Life Science
Multicultural
Native American Heritage Month
Nature
Outdoors
Politics
Pre-Law
Public Health
Public Policy
Science
Social Impact
Social Justice
Social Sciences
Sustainability"
110300-21832495,UMSN Health Equity Leadership Series,"Activism
Chile
Diabetes
Diversity Equity and Inclusion
health care
Health Disparities
Health Professions
Housing
Humanities
lecture
Multicultural
Native American
nursing
Professional Development
public health
social justice
Stigma
Talk
women's health"
113523-21831118,MCAIM Series on Algorithm Startups,"AEM Featured
Mathematics"
113454-21831033,"Safeguarding Principles: Interrogating Free Speech in Diversity, Equity & Inclusion (DEI) Discourse","AEM Featured
Diversity Equity and Inclusion
Diversity Summit"
110567-21825102,"CAS Lecture | Early Modernity, the Armenian Printing Revolution, and Imagining the ""Confessional Nation"" across the Armenian Diaspora, 1680-1800","armenia
history
International"
112279-21828743,DCMB / CCMB  Weekly Seminar,"Applications
Basic Science
Biology
Biomedical Engineering
Biosciences
Cardiovascular
Chemistry
Discussion
Education
Electrical Engineering and Computer Science
Engineering
Free
Graduate Students
Human Genetics
Information and Technology
Learning Health Systems
Lecture
Life Science
Mathematics
Medicine
Michigan Engineering
Physics
Precision Health
Public Health
Research
Science
seminar
Structural Biology
Talk"
112966-21829828,Math Undergraduate Seminar: Knot Theory (Knot Rigorously),"Mathematics
Talk
Undergraduate Students"
113476-21831060,Taxes and Tyranny,"Archaeology
Classical Studies
classics
Discussion
Free
History"
111425-21827112,An Evening with Anthony Doerr,"#Honors Program
Classical Studies"
113477-21831059,Dr. Nate Sanders Faculty Talk,"biodiversity
Biology
Biosciences
Career
department of ecology and evolutionary biology
Ecology
Ecology & Biology
Ecology And Evolutionary Biology
Food
Free
Lecture
Natural Sciences
Open To All Majors"
108948-21830023,"Craft Talk, Reading and Q&A with Liz Moore","Books
Creative Writing
Culture
Discussion
English Language And Literature
Free
Lecture
Literary Arts
Literature
Mfa Program In Creative Writing
The Helen Zell Writers' Program
UMMA"
113627-21831256,Webinar - This is My Story: Staff of Color Experiences at the University of Michigan,"Diversity Equity and Inclusion
Diversity Strategic Plan
Diversity Summit"
110818-21825569,CJS Thursday Noon Lecture Series | The Themepark of Nuclear: An Exhaustive Survey on Nuclear Power Plant Visitor Centers in Post-Fukushima Japan,"Asia
japan
Media"
112501-21829030,"LSI Seminar Series: Ariel Feldstein, M.D., Novo Nordisk and University of California San Diego","Basic Science
Biology
Biosciences
Life Science
Research"
112975-21829838,"UMRA-U-M Retiree Association October 12 — Preparing your gardens, plantings and trees for winter.",Fall Gardening
112976-21829841,UMRA-UM Retirees Association Annual Meeting and HR Benefits Updates,Benefits
113413-21830972,899 Seminar Series: Andres Gomez,"899 Seminar Series
Industrial & Operations Engineering
Industrial And Operations Engineering
Michigan Engineering
seminar"
113556-21831152,Department of Astronomy 2023-2024 Colloquium Series Presents:,"astronomy
astrophysics"
110758-21825476,"Caswell Diabetes Institute Seminar Series Featuring Leslie J. Baier, PhD","Basic Science
Biosciences
Faculty
Free
Graduate and Professional Students
Graduate Students
In Person
Postdoctoral Research Fellows
Science"
113418-21830980,DAAS Diasporic Dialogues,"AEM Featured
African Diaspora
African Studies"
109921-21823234,"Exposure (E. Levinas, F. Moten, K. Lamar)","Culture
Discussion
Diversity
Free
Graduate
Graduate Students
Interdisciplinary
Literature
Philosophy
Politics
Romance Languages And Literatures
Talk"
109334-21821481,WCEE Lecture. Artists Talk & Reception for Guardian Passage,"ukraine
visual arts"
109990-21823557,Chris Van Allsburg,Art
112775-21829536,Arts & Resistance: Reimagining Mars: From Canals to the Russian Revolution,"Art
Astronomers
astronomy
bentley historical library
bentley library
Education
educational
free
history
lecture
observing
Science
Telescope Observation
Telescopes"
113173-21830356,Drag as Resistance: Conversation & Performance,"Art
artists
Discussion
LGBTQ History Month"
112612-21829184,Endocast morphological diversity in teleosts,"Museum Of Paleontology
Paleontology
Research"
113785-21831634,Entrepreneurship Hour: Nancy Xiao and Jim Xiao,"Business
Center For Entrepreneurship
Cfe
Discussion
Entrepreneurship
Free
Graduate
Graduate and Professional Students
Graduate Professional Student Life
Graduate School
Graduate Students
Lecture
Undergraduate
Undergraduate Students"
111577-21827264,Chelsea Eats: Basic Income and Food Security,"community health
ford school of public policy
Free
gerald r. ford school of public policy
Health
Humanities
In Person
Inequality
Lecture
policy
Poverty
poverty and inequality
Poverty Solutions
Public Health
Public Policy
Research
Social Impact
Social Sciences
Social Work
Sociology"
113356-21830809,"Loneliness, Falls, Brain Health & Medicare: Healthy Aging Series from U-M and AARP Michigan",
108162-21819068,"Smith Lecture - Dr. Katharine Cashman, University of Oregon",Natural Sciences
113683-21831448,Math Graduate School Panel,
113676-21831440,Math Graduate School Panel,"Career
Graduate School
Mathematics
Research
Undergraduate
Undergraduate Students"
112608-21829182,Who cooked Aristotle’s dinner? Women and the ancient (Greek) economy,"Classical Studies
Free
In Person
Interdisciplinary
Talk"
113210-21830522,October Community Day Meeting,
107880-21818335,Colloquium: Fall Break,Mathematics
114081-21832319,"Starting the largest startup Hedge Fund in History | Michael Gelband, Co-Founder, Co-CEO, and Head of Fixed Income for ExodusPoint Capital Management MBA '83",
111930-21827932,Abrahamic Vernaculars:  Rivals Thinking Together,"Faculty
Frankel Center For Judaic Studies
Free
Judaic
judaic studies
Reception
Religion
Religious
Talk"
111518-21827209,Dissecting the Mechanisms of Cell Division,"Basic Science
Biology
Biosciences
Science"
